,post_id,user_id,viewed,liked,category
582,428,18,0,1,Vible
583,430,18,0,1,Vible
584,430,47,1,1,Vible
585,432,18,0,1,Vible
586,432,47,1,0,Vible
587,433,18,0,1,Vible
588,433,172,0,1,Vible
589,434,18,0,1,Vible
590,434,172,0,1,Vible
591,436,1,0,1,Vible
592,436,18,0,1,Vible
593,436,47,1,1,Vible
594,436,167,1,0,Vible
595,436,185,1,0,Vible
596,437,1,0,1,Vible
597,437,18,0,1,Vible
598,437,172,1,0,Vible
599,438,18,0,1,Vible
600,438,172,1,0,Vible
601,446,44,1,0,E/ACC
602,447,44,1,1,E/ACC
603,448,44,1,0,E/ACC
604,449,5,0,1,E/ACC
605,449,172,0,1,E/ACC
606,451,172,1,1,Vible
607,452,18,0,1,Vible
608,452,47,1,0,Vible
609,452,172,0,1,Vible
610,452,182,1,0,Vible
611,453,1,0,1,Vible
612,453,18,0,1,Vible
613,453,47,1,1,Vible
614,453,147,1,0,Vible
615,453,172,1,1,Vible
616,454,18,0,1,Vible
617,454,172,1,1,Vible
618,455,9,0,1,Vible
619,455,18,0,1,Vible
620,456,18,0,1,Vible
621,456,47,1,0,Vible
622,457,18,0,1,Vible
623,458,18,0,1,Vible
624,458,26,1,1,Vible
625,459,1,0,1,Gratitube
626,459,5,0,1,Gratitube
627,459,9,0,1,Gratitube
628,459,18,0,1,Gratitube
629,459,19,0,1,Gratitube
630,459,26,1,1,Gratitube
631,459,39,1,0,Gratitube
632,459,97,0,1,Gratitube
633,459,180,1,1,Gratitube
634,459,192,1,0,Gratitube
635,460,1,0,1,Vible
636,460,18,0,1,Vible
637,460,176,1,0,Vible
638,461,1,0,1,Vible
639,461,18,0,1,Vible
640,461,47,1,1,Vible
641,461,167,1,0,Vible
642,462,18,0,1,Vible
643,462,47,1,1,Vible
644,462,142,1,0,Vible
645,463,18,0,1,Vible
646,464,18,0,1,Vible
647,466,18,0,1,Vible
648,466,53,1,0,Vible
649,467,18,0,1,Vible
650,467,53,1,0,Vible
651,468,18,0,1,Vible
652,468,47,1,0,Vible
653,469,9,0,1,Vible
654,469,18,0,1,Vible
655,469,41,0,1,Vible
656,469,47,1,0,Vible
657,469,203,1,0,Vible
658,473,44,1,0,E/ACC
659,477,1,0,1,E/ACC
660,487,18,0,1,Vible
661,487,47,1,0,Vible
662,488,18,0,1,Vible
663,491,1,0,1,Vible
664,491,18,0,1,Vible
665,491,47,1,0,Vible
666,494,1,0,1,Vible
667,494,18,0,1,Vible
668,496,18,0,1,Vible
669,496,47,1,1,Vible
670,496,136,1,0,Vible
671,497,9,0,1,Vible
672,497,18,0,1,Vible
673,498,18,0,1,Vible
674,499,1,0,1,Vible
675,499,18,0,1,Vible
676,499,47,1,0,Vible
677,510,183,1,0,Vible
678,512,47,1,1,Vible
679,512,155,1,0,Vible
680,512,167,1,0,Vible
681,512,194,1,0,Vible
682,512,260,1,1,Vible
683,512,289,1,0,Vible
684,513,1,0,1,Vible
685,513,44,1,0,Vible
686,513,47,1,0,Vible
687,513,155,1,0,Vible
688,513,167,1,0,Vible
689,515,65,0,1,Vible
690,516,47,1,1,Vible
691,516,155,1,0,Vible
692,516,160,1,0,Vible
693,516,167,1,0,Vible
694,516,194,1,0,Vible
695,517,47,1,1,Vible
696,518,47,1,0,Vible
697,525,44,0,1,E/ACC
698,527,5,0,1,E/ACC
699,531,151,1,0,E/ACC
700,538,1,0,1,E/ACC
701,540,1,0,1,Vible
702,540,26,1,0,Vible
703,540,47,1,0,Vible
704,540,149,1,0,Vible
705,540,152,1,0,Vible
706,540,155,1,0,Vible
707,540,167,1,0,Vible
708,540,174,0,1,Vible
709,540,184,1,0,Vible
710,540,203,1,1,Vible
711,540,260,1,1,Vible
712,540,289,1,0,Vible
713,540,355,1,0,Vible
714,540,358,1,0,Vible
715,540,771,0,1,Vible
716,546,1,0,1,Vible
717,546,9,0,1,Vible
718,546,18,0,1,Vible
719,546,47,1,0,Vible
720,546,65,0,1,Vible
721,546,70,0,1,Vible
722,546,167,1,0,Vible
723,547,18,0,1,Vible
724,547,70,0,1,Vible
725,548,47,1,0,Vible
726,548,126,1,0,Vible
727,548,203,1,1,Vible
728,549,1,0,1,Vible
729,549,5,0,1,Vible
730,549,18,0,1,Vible
731,549,26,0,1,Vible
732,549,47,1,0,Vible
733,549,152,1,0,Vible
734,549,153,1,0,Vible
735,549,167,1,0,Vible
736,549,176,1,1,Vible
737,549,194,1,0,Vible
738,549,203,1,0,Vible
739,549,243,1,0,Vible
740,549,348,1,0,Vible
741,549,404,0,1,Vible
742,549,531,0,1,Vible
743,549,867,0,1,Vible
744,551,1,0,1,Vible
745,551,18,0,1,Vible
746,551,26,0,1,Vible
747,551,47,1,0,Vible
748,551,116,1,0,Vible
749,551,155,1,0,Vible
750,551,167,1,0,Vible
751,551,176,1,0,Vible
752,556,26,0,1,Vible
753,556,118,1,0,Vible
754,558,1,0,1,Vible
755,558,18,0,1,Vible
756,558,26,1,1,Vible
757,558,47,1,0,Vible
758,558,94,0,1,Vible
759,558,116,1,0,Vible
760,558,149,1,0,Vible
761,558,155,1,0,Vible
762,558,160,1,0,Vible
763,558,166,1,0,Vible
764,558,167,1,0,Vible
765,558,175,1,0,Vible
766,558,194,1,0,Vible
767,560,1,0,1,Vible
768,560,9,0,1,Vible
769,560,18,0,1,Vible
770,560,19,0,1,Vible
771,560,26,0,1,Vible
772,560,47,1,0,Vible
773,560,116,1,1,Vible
774,560,123,1,1,Vible
775,560,149,1,0,Vible
776,560,151,1,1,Vible
777,560,155,1,0,Vible
778,560,160,1,0,Vible
779,560,167,1,0,Vible
780,560,170,1,0,Vible
781,560,174,1,0,Vible
782,560,175,1,0,Vible
783,560,178,1,0,Vible
784,560,184,1,0,Vible
785,560,187,0,1,Vible
786,560,192,1,0,Vible
787,560,240,1,0,Vible
788,560,241,1,0,Vible
789,560,243,1,0,Vible
790,560,353,1,0,Vible
791,560,355,1,0,Vible
792,560,357,1,0,Vible
793,560,359,1,0,Vible
794,560,362,1,0,Vible
795,560,368,1,1,Vible
796,560,370,1,0,Vible
797,560,503,0,1,Vible
798,560,832,0,1,Vible
799,560,859,0,1,Vible
800,563,19,0,1,Vible
801,563,67,0,1,Vible
802,563,155,1,0,Vible
803,563,164,1,0,Vible
804,571,114,1,0,E/ACC
805,575,39,0,1,E/ACC
806,576,5,0,1,E/ACC
807,576,39,0,1,E/ACC
808,577,18,0,1,E/ACC
809,578,26,1,0,E/ACC
810,580,1,0,1,E/ACC
811,580,18,0,1,E/ACC
812,583,1,0,1,Vible
813,583,26,1,0,Vible
814,583,47,1,0,Vible
815,583,50,0,1,Vible
816,583,61,0,1,Vible
817,583,65,0,1,Vible
818,583,74,0,1,Vible
819,583,118,1,0,Vible
820,583,123,1,0,Vible
821,583,125,1,1,Vible
822,583,126,1,0,Vible
823,583,155,1,0,Vible
824,583,167,1,0,Vible
825,586,1,0,1,Vible
826,586,18,0,1,Vible
827,586,19,0,1,Vible
828,586,61,0,1,Vible
829,586,74,0,1,Vible
830,586,102,0,1,Vible
831,586,120,1,0,Vible
832,586,126,1,1,Vible
833,586,155,1,0,Vible
834,588,18,0,1,Vible
835,588,19,0,1,Vible
836,588,47,1,0,Vible
837,588,116,1,0,Vible
838,588,127,1,0,Vible
839,588,155,1,0,Vible
840,590,1,0,1,Vible
841,590,18,0,1,Vible
842,590,19,0,1,Vible
843,590,44,0,1,Vible
844,590,58,0,1,Vible
845,590,60,0,1,Vible
846,590,61,0,1,Vible
847,590,76,0,1,Vible
848,590,77,0,1,Vible
849,590,127,0,1,Vible
850,590,131,1,0,Vible
851,590,155,1,0,Vible
852,590,167,1,0,Vible
853,590,770,0,1,Vible
854,595,18,0,1,E/ACC
855,601,1,0,1,E/ACC
856,601,18,0,1,E/ACC
857,602,18,0,1,E/ACC
858,603,18,0,1,E/ACC
859,604,18,0,1,E/ACC
860,605,18,0,1,E/ACC
861,605,183,0,1,E/ACC
862,606,18,0,1,E/ACC
863,606,39,0,1,E/ACC
864,606,183,0,1,E/ACC
865,607,183,1,1,E/ACC
866,608,1,0,1,E/ACC
867,608,180,1,0,E/ACC
868,608,183,1,1,E/ACC
869,609,26,1,0,E/ACC
870,609,168,1,0,E/ACC
871,609,183,1,1,E/ACC
872,609,192,1,0,E/ACC
873,610,192,1,1,E/ACC
874,611,26,1,0,E/ACC
875,611,192,1,0,E/ACC
876,612,192,1,0,E/ACC
877,613,192,1,0,E/ACC
878,614,1,0,1,E/ACC
879,614,192,1,0,E/ACC
880,616,18,0,1,E/ACC
881,616,26,0,1,E/ACC
882,616,192,1,0,E/ACC
883,617,19,0,1,E/ACC
884,617,26,1,0,E/ACC
885,617,130,1,0,E/ACC
886,617,192,1,0,E/ACC
887,618,9,0,1,E/ACC
888,618,18,0,1,E/ACC
889,618,19,0,1,E/ACC
890,618,180,1,0,E/ACC
891,618,192,1,0,E/ACC
892,619,5,0,1,E/ACC
893,619,19,0,1,E/ACC
894,619,39,0,1,E/ACC
895,619,192,1,0,E/ACC
896,621,192,1,0,E/ACC
897,621,263,1,0,E/ACC
898,623,1,0,1,E/ACC
899,623,9,0,1,E/ACC
900,623,172,1,0,E/ACC
901,623,180,1,1,E/ACC
902,624,180,1,0,E/ACC
903,625,1,0,1,E/ACC
904,625,19,0,1,E/ACC
905,625,180,1,0,E/ACC
906,625,192,1,0,E/ACC
907,625,197,1,0,E/ACC
908,625,332,1,0,E/ACC
909,625,339,1,0,E/ACC
910,625,560,0,1,E/ACC
911,626,19,0,1,E/ACC
912,626,114,1,1,E/ACC
913,626,130,1,0,E/ACC
914,626,169,1,0,E/ACC
915,626,172,1,0,E/ACC
916,626,180,1,1,E/ACC
917,626,187,0,1,E/ACC
918,626,192,1,0,E/ACC
919,626,241,1,1,E/ACC
920,626,735,0,1,E/ACC
921,627,121,1,0,Vible
922,627,163,1,0,Vible
923,627,167,1,0,Vible
924,627,190,1,0,Vible
925,627,241,1,0,Vible
926,629,1,0,1,Vible
927,629,9,0,1,Vible
928,629,19,0,1,Vible
929,629,47,1,0,Vible
930,629,119,1,0,Vible
931,629,127,1,1,Vible
932,629,149,1,0,Vible
933,629,155,1,0,Vible
934,629,163,1,0,Vible
935,629,167,1,0,Vible
936,629,194,1,0,Vible
937,629,545,0,1,Vible
938,631,1,0,1,Vible
939,631,18,0,1,Vible
940,631,19,0,1,Vible
941,631,39,0,1,Vible
942,631,44,1,0,Vible
943,631,102,0,1,Vible
944,631,103,0,1,Vible
945,631,114,1,1,Vible
946,631,127,1,0,Vible
947,631,155,1,0,Vible
948,631,263,1,0,Vible
949,631,304,1,0,Vible
950,633,1,0,1,Vible
951,633,9,0,1,Vible
952,633,18,0,1,Vible
953,633,19,0,1,Vible
954,633,26,1,1,Vible
955,633,44,1,1,Vible
956,633,47,1,0,Vible
957,633,136,1,0,Vible
958,633,149,1,0,Vible
959,633,151,1,0,Vible
960,633,155,1,0,Vible
961,633,167,1,0,Vible
962,633,187,0,1,Vible
963,634,1,0,1,Gratitube
964,634,18,0,1,Gratitube
965,634,26,1,1,Gratitube
966,634,44,1,0,Gratitube
967,634,180,1,1,Gratitube
968,634,192,1,0,Gratitube
969,634,229,1,0,Gratitube
